pattern,level,type_de,explanation_de,example_korean,example_german,note
N은/는,A1,Thema-Partikel,Markiert das Satzthema. Nach Konsonant: 은 · Nach Vokal: 는,저는 학생이에요.,Ich bin Student.,은 nach Konsonant · 는 nach Vokal
N이/가,A1,Subjekt-Partikel,Markiert das Subjekt. Nach Konsonant: 이 · Nach Vokal: 가,친구가 와요.,Ein Freund kommt.,이 nach Konsonant · 가 nach Vokal
N을/를,A1,Objekt-Partikel,Markiert das direkte Objekt. Nach Konsonant: 을 · Nach Vokal: 를,밥을 먹어요.,Ich esse Reis.,을 nach Konsonant · 를 nach Vokal
N에,A1,Richtungs-/Ortspartikel,Richtung (wohin?) oder Zeitpunkt (wann?),학교에 가요.,Ich gehe zur Schule.,Richtung oder Zeitpunkt
N에서,A1,Handlungsort-Partikel,Ort der Handlung (wo findet etwas statt?),집에서 먹어요.,Ich esse zuhause.,Ort einer Handlung
N이에요/예요,A1,Kopula (sein),Nach Konsonant: 이에요 · Nach Vokal: 예요,학생이에요.,Ich bin Student.,이에요 nach Konsonant · 예요 nach Vokal
N이/가 아니에요,A1,Verneinung (kein/nicht),Verneinung der Kopula. Nach Konsonant: 이 아니에요 · Nach Vokal: 가 아니에요,학생이 아니에요.,Ich bin kein Student.,Gegenteil von 이에요/예요
V-아/어요,A1,Höfliche Gegenwart,Höfliche Gegenwartsform. Vokal ㅏ/ㅗ → 아요 · Sonst → 어요 · 하다 → 해요,먹어요.,Ich esse.,하다-Verben werden zu 해요
V-았/었어요,A1,Höfliche Vergangenheit,Höfliche Vergangenheitsform. ㅏ/ㅗ → 았어요 · Sonst → 었어요 · 하다 → 했어요,먹었어요.,Ich habe gegessen.,하다 → 했어요
안 + V,A1,Kurzverneinung,Verneinung: 안 direkt vor dem Verb. Schnell und umgangssprachlich,안 먹어요.,Ich esse nicht.,하다-Verben: Nomen + 안 해요 · z.B. 공부 안 해요
V-지 않아요,A1,Langverneinung,Formellere Verneinung: Verbstamm + 지 않아요,먹지 않아요.,Ich esse nicht.,Formeller als 안 + Verb · Verbstamm + 지 않아요
V-고 싶다,A1,Wunschform,Wunsch ausdrücken: möchten (etwas tun wollen),한국에 가고 싶어요.,Ich möchte nach Korea gehen.,Verb-Stamm + 고 싶어요
V-(으)세요,A1,Höfliche Aufforderung,Höfliche Aufforderung. Nach Konsonant: 으세요 · Nach Vokal: 세요,앉으세요.,Bitte setzen Sie sich.,Imperativ-Höflichkeitsform
V-지 마세요,A1,Verbot (höflich),Bitte etwas nicht tun: höfliche Aufforderung zu unterlassen,여기서 사진 찍지 마세요.,Bitte machen Sie hier keine Fotos.,Verbstamm + 지 마세요
V-고,A1,Verbindung (und dann),Zwei Handlungen verbinden: und · und dann. Reihenfolge ausdrücken,밥을 먹고 공부해요.,Ich esse und lerne dann.,Kein Tempuswechsel beim ersten Verb möglich
N에서 N까지,A1,Von-bis (Ort und Zeit),Von einem Ausgangspunkt bis zu einem Ziel. Auch zeitlich verwendbar,서울에서 부산까지 가요.,Ich fahre von Seoul nach Busan.,Ort · Zeit: 월요일에서 금요일까지
무슨/어떤 N,A1,Fragewort (welche Art),Was für ein / Welche Art von Nomen. 무슨 = was für · 어떤 = was für / wie beschaffen,무슨 음식을 좋아해요?,Was für Essen magst du?,무슨 = neutrale Frage · 어떤 = nach Eigenschaft oder Art
얼마나 + Adj/V,A1,Fragewort (Ausmaß),Wie sehr / Wie lange / Wie viel: fragt nach dem Ausmaß,얼마나 걸려요?,Wie lange dauert es?,얼마나 오래 = wie lange · 얼마나 많이 = wie viel
N도,A1,Inklusiv-Partikel,Auch / Ebenfalls,저도 학생이에요.,Ich bin auch Student.,Ersetzt 은/는 이/가 을/를
